device_id,endurance,cost_perf,photo,performance,good_word,total_score
74479,0,0,0,0,"",10
76039,0,0,0,0,"手感舒适(3),机身轻薄(2),外观漂亮(2),系统流畅(1),屏幕效果好(1),外观稳重(1),游戏性能不错(1)",7.7
76441,4.8,6.4,6.4,8,"",8.4
77380,7.3,7.3,7.3,7.3,"音色音质好(4),外观漂亮(3),音乐播放效果出色(2),续航出色(2),系统流畅(2),成像效果好(1),手感舒适(1)",9.1
78799,0,0,0,0,"系统流畅(3),手感舒适(1),相机像素高(1),游戏性能不错(1),价格便宜(1),多媒体娱乐功能强(1)",8.4
79021,0,0,0,0,"外观漂亮(3),屏幕大(1),外观简约(1)",8.4
79346,0,0,0,0,"",0
79366,0,0,0,0,"音色音质好(3),机身内存大(2),外观漂亮(1),耳机音质好(1)",6.9
80117,0,0,0,0,"手感舒适(1),运行流畅(1)",8
81656,0,0,0,0,外观漂亮(1),8.8
84312,8,8,4.8,4.8,"续航出色(1),信号好(1)",8.4
84328,0,0,0,0,音色音质好(1),7.3
85240,0,0,0,0,"",0
89454,0,0,0,0,"",0
91519,0,0,0,0,"外观漂亮(2),音乐播放效果出色(1),性价比高(1)",7.3
92372,0,0,0,0,外观漂亮(1),8
94177,0,0,0,0,"",2
94421,0,0,0,0,外观漂亮(1),7
94493,5.5,5.5,2.3,5.5,"",6.5
97381,0,0,0,0,性价比高(1),10
97445,5.7,8.9,5.7,6.5,"处理器不错(2),运行流畅(1),机身小巧(2),分辨率高(2),性价比高(1),外观简约(1),屏幕大(1)",7.8
98206,0,0,0,0,"",8
98660,0,0,0,0,"系统流畅(1),音乐播放效果出色(1),机身内存大(1)",7.3
98661,0,0,0,0,运行流畅(2),8.7
98662,0,0,0,0,"音色音质好(1),外观漂亮(1),屏幕效果好(1)",6.9
98665,0,0,0,0,系统流畅(1),7.2
98668,0,0,0,0,"",8
102941,0,0,0,0,"",0
103123,0,0,0,0,"音色音质好(2),扬声器音量大(1),系统流畅(1)",7
103823,0,0,0,0,"系统流畅(3),价格便宜(1),多媒体娱乐功能强(1),手感舒适(1),相机像素高(1),游戏性能不错(1)",8.4
103984,0,0,0,0,"外观漂亮(4),机身小巧(2),音色音质好(2),屏幕效果好(1),音乐播放效果出色(1),机身轻薄(1)",6.9
103987,0,0,0,0,外观漂亮(1),8
104737,0,0,0,0,外观漂亮(1),5.2
106526,0,0,0,0,摄像效果出色(1),8
106535,0,0,0,0,"外观漂亮(5),音乐播放效果出色(3),音色音质好(1),系统流畅(1)",6.6
106563,0,0,0,0,"",7.3
109769,0,0,0,0,"屏幕效果好(3),外观漂亮(1),屏幕大(1),性能好(1),多媒体娱乐功能强(1)",7.5
109780,0,0,0,0,"外观漂亮(5),耳机音质好(2),音乐播放效果出色(2),价格便宜(1),屏幕大(1),机身轻薄(1)",7
109782,0,0,0,0,"分辨率高(1),价格便宜(1),机身小巧(1)",8
109783,0,0,0,0,"",8
109941,0,0,0,0,"外观漂亮(2),续航出色(1),性价比高(1),价格便宜(1)",7.5
111130,0,0,0,0,"外观漂亮(1),分辨率高(1)",7.3
111497,0,0,0,0,"",0
111954,0,0,0,0,屏幕材质质量好(1),8
114669,0,0,0,0,摄像效果出色(1),8
117144,4.8,4.8,1.6,1.6,"",4.6
118304,0,0,0,0,续航出色(1),4.4
122610,0,0,0,0,成像效果好(1),6.8
123210,0,0,0,0,"屏幕效果好(6),系统流畅(5),音乐播放效果出色(5),外观漂亮(4),性价比高(4),屏幕大(4),音色音质好(4)",8.5
123951,0,0,0,0,"",9
123956,0,0,0,0,耳机音质好(1),5.3
123960,0,0,0,0,"",0
125351,6.2,7.8,4.6,6.2,"外观漂亮(2),音色音质好(1)",8.1
125356,0,0,0,0,外观漂亮(1),6
125357,0,0,0,0,外观漂亮(1),8
125358,0,0,0,0,"",8
125525,0,0,0,0,"",0
126945,0,0,0,0,"系统流畅(5),屏幕效果好(3),字体大(2),外观漂亮(1),屏幕大(1)",8.6
126946,0,0,0,0,"屏幕大(4),屏幕效果好(2),字体大(2),扬声器音量大(1),音效出色(1)",7.5
127451,0,0,0,0,"",0
128222,0,0,0,0,"屏幕显示出色(4),系统流畅(3),屏幕大(3),外观漂亮(2)",8.1
129165,0,0,0,0,"系统流畅(3),价格便宜(1),多媒体娱乐功能强(1),手感舒适(1),相机像素高(1),游戏性能不错(1)",8.4
130044,0,0,0,0,"",0
131374,0,0,0,0,"",8
132816,0,0,0,0,"",8
132817,0,0,0,0,"",8
134771,0,0,0,0,"外观漂亮(2),音色音质好(2),音乐播放效果出色(1)",5.8
134878,0,0,0,0,"音色音质好(3),音乐播放效果出色(3),外观漂亮(1)",7.3
135358,0,0,0,0,"",0
135361,0,0,0,0,"音色音质好(3),音乐播放效果出色(3),外观漂亮(1)",7.3
135364,0,0,0,0,"音色音质好(3),音乐播放效果出色(2),界面漂亮(1),外观漂亮(1),屏幕效果好(1),外观圆润(1)",7.7
135585,0,0,0,0,"",0
135689,0,0,0,0,外观漂亮(1),10
135737,0,0,0,0,"",0
136264,0,0,0,0,"",0
136676,0,0,0,0,"",0
136813,0,0,0,0,"",0
136924,0,0,0,0,外观漂亮(3),5.3
136956,0,0,0,0,"外观漂亮(9),屏幕显示出色(1),音色音质好(1),摄像效果出色(1)",8.4
136965,0,0,0,0,"外观漂亮(3),屏幕大(3),手感舒适(1),界面漂亮(1),机身小巧(1)",6.2
136968,0,0,0,0,"系统流畅(2),机身轻薄(1)",7.2
137061,0,0,0,0,"屏幕大(2),分辨率高(1),手感舒适(1),外观漂亮(1)",6.8
137062,0,0,0,0,"分辨率高(2),屏幕效果好(2),性能好(1),系统流畅(1),外观漂亮(1)",7.6
137063,0,0,0,0,"",0
137064,0,0,0,0,屏幕效果好(1),7
137229,0,0,0,0,屏幕效果好(1),9
137286,5.7,8.9,5.7,6.5,"机身小巧(2),分辨率高(2),处理器不错(2),运行流畅(1),外观简约(1),屏幕大(1),屏幕效果好(1)",7.8
137616,0,0,0,0,"屏幕大(2),手感舒适(1)",8
138033,0,0,0,0,"",0
138094,0,0,0,0,性能好(1),8.4
138095,0,0,0,0,性能好(1),8.4
140161,0,0,0,0,外观简约(1),7.3
140333,0,0,0,0,"外观漂亮(4),手感舒适(1),外观稳重(1)",7.5
140337,5.6,5.6,4,4,"外观漂亮(6),屏幕效果好(2),手感舒适(1),系统流畅(1),外观简约(1),价格便宜(1),分辨率高(1)",5.8
140339,5.9,5.9,4.3,5.9,外观漂亮(2),7.3
140340,0,0,0,0,"价格便宜(2),续航出色(2),外观漂亮(2),系统流畅(1),性价比高(1),价格实惠(1),外观稳重(1)",7.6
140366,0,0,0,0,"",0
140964,0,0,0,0,"",4
141333,0,0,0,0,"音色音质好(1),音乐播放效果出色(1)",8
141452,0,0,0,0,"机身轻薄(1),手感舒适(1)",4.7
141684,0,0,0,0,"系统流畅(1),外观漂亮(1)",6
143041,0,0,0,0,"外观漂亮(5),屏幕大(1)",7.4
143129,0,0,0,0,音色音质好(1),10
143769,0,0,0,0,"续航出色(3),外观漂亮(2),屏幕效果好(2),外观简约(1)",7.2
143777,0,0,0,0,"",0
144290,0,0,0,0,"",0
144344,0,0,0,0,"",0
145045,0,0,0,0,机身小巧(1),5
145650,0,0,0,0,续航出色(1),8
146343,0,0,0,0,"",2
147351,0,0,0,0,"外观漂亮(5),屏幕大(1)",7.4
147603,0,0,0,0,音乐播放效果出色(1),7
147990,8.3,8.3,1.9,3.5,外观漂亮(1),7.7
148648,0,0,0,0,"外观稳重(4),续航出色(1),外观漂亮(1)",6.9
150236,0,0,0,0,"外观简约(1),相机像素高(1)",8
150392,0,0,0,0,"外观漂亮(5),耳机音质好(1),机身小巧(1)",5.7
151064,0,0,0,0,"分辨率高(4),外观漂亮(3),硬件配置强悍(1)",8.4
151079,0,0,0,0,"",0
151089,0,0,0,0,外观稳重(1),8
151867,0,0,0,0,外观漂亮(1),8
152156,0,0,0,0,信号好(1),5
152168,0,0,0,0,"外观漂亮(3),系统流畅(3)",7
152185,0,0,0,0,"",0
152190,2.4,8.8,5.6,7.2,"屏幕大(2),价格便宜(1),性能好(1),手感舒适(1)",7.8
152419,0,0,0,0,"音色音质好(1),系统流畅(1),外观漂亮(1)",7.2
152802,0,0,0,0,机身小巧(1),7
152973,0,0,0,0,续航出色(1),2
153307,0,0,0,0,手感舒适(1),4
154838,0,0,0,0,"",0
155350,0,0,0,0,"外观漂亮(5),手感舒适(1),屏幕大(1)",4.7
155359,0,0,0,0,"续航出色(2),系统流畅(1),电池容量大(1)",6.8
156194,0,0,0,0,"外观漂亮(1),系统流畅(1)",7.1
156655,0,0,0,0,"",8
156737,0,0,0,0,续航出色(1),4
157087,0,0,0,0,"",0
157446,0,0,0,0,"处理器不错(7),信号好(2),价格便宜(1),外观漂亮(1),续航出色(1),外观简约(1),运行流畅(1)",7.8
157483,0,0,0,0,"",8
158218,0,0,0,0,"外观漂亮(1),音色音质好(1)",5.7
158548,0,0,0,0,"",0
159291,0,0,0,0,"",0
159885,0,0,0,0,音色音质好(1),9
160806,0,0,0,0,"",0
161485,0,0,0,0,"",0
161786,0,0,0,0,"",0
162243,0,0,0,0,"",0
162501,0,0,0,0,"",0
162533,5.9,5.1,5.1,5.1,"外观漂亮(7),屏幕效果好(3),音色音质好(3),续航出色(2),手感舒适(2),电池容量大(1),视频流畅效果好(1)",6.7
162590,0,0,0,0,"",0
163799,0,0,0,0,"",9
163894,0,0,0,0,手感舒适(1),8
164126,0,0,0,0,"",6
164392,0,0,0,0,"",0
164410,0,0,0,0,价格便宜(1),8
165484,0,0,0,0,"",0
165636,6.4,3.2,4.8,4.8,续航出色(1),5.6
166065,0,0,0,0,"",6
167461,0,0,0,0,"外观漂亮(3),音色音质好(1),系统流畅(1),耳机音质好(1),屏幕效果好(1)",8
168058,0,0,0,0,"",0
168060,0,0,0,0,"外观漂亮(1),系统流畅(1)",5
168592,0,0,0,0,"",0
168894,0,0,0,0,屏幕效果好(2),6.3
169521,0,0,0,0,"",0
169830,0,0,0,0,"音色音质好(1),外观漂亮(1)",8
170047,0,0,0,0,"外观漂亮(4),屏幕大(1),后盖严实(1),手感舒适(1),界面简约(1),分辨率高(1)",6.3
170205,0,0,0,0,"",7.3
170403,7.1,5.5,3.9,3.9,"外观漂亮(1),机身内存大(1),手感舒适(1)",7.5
170407,0,0,0,0,"价格合理(1),系统流畅(1)",6.6
170840,0,0,0,0,"外观漂亮(1),运行流畅(1)",6
170885,0,0,0,0,"音色音质好(5),外观漂亮(2),系统流畅(1)",7.6
171088,0,0,0,0,"",0
171475,0,0,0,0,续航出色(1),8
172011,0,0,0,0,"外观漂亮(2),续航出色(1)",7.6
172330,0,0,0,0,"性价比高(1),屏幕效果好(1)",5.3
172704,0,0,0,0,外观漂亮(2),6
172893,0,0,0,0,"",0
173227,0,0,0,0,"外观漂亮(1),屏幕效果好(1)",7
173838,0,0,0,0,"音色音质好(1),外观漂亮(1)",6.5
174853,0,0,0,0,"",0
178193,0,0,0,0,"音色音质好(5),手感舒适(4),系统流畅(3),外观漂亮(2),电池容量大(1),屏幕大(1),续航出色(1)",8
178201,0,0,0,0,"外观漂亮(5),系统流畅(3),屏幕效果好(2),机身内存大(1),运行流畅(1),相机像素高(1),外观稳重(1)",7.4
180747,5.5,5.5,5.5,5.5,"外观漂亮(15),成像效果好(2),系统流畅(2),价格合理(1),耳机音质好(1),续航出色(1),音色音质好(1)",6.9
180748,0,0,0,0,机身小巧(1),4
181045,0,0,0,0,"",0
182155,0,0,0,0,"",6
182208,0,0,0,0,"续航出色(1),外观稳重(1)",6.7
182331,0,0,0,0,手感舒适(1),5.3
182817,0,0,0,0,"系统流畅(3),硬件配置强悍(1),屏幕效果好(1),屏幕显示出色(1),分辨率高(1),手感舒适(1)",7.9
182942,0,0,0,0,"",0
183321,0,0,0,0,"外观漂亮(6),屏幕大(5),视频流畅效果好(4),系统流畅(2),屏幕效果好(1),多媒体娱乐功能强(1),屏幕显示出色(1)",7.5
184038,0,0,0,0,"系统流畅(7),手感舒适(3),外观漂亮(2),价格便宜(1),电池容量大(1)",8
184336,0,0,0,0,"外观漂亮(2),外观稳重(1)",2.7
185333,0,0,0,0,外观漂亮(2),7
186830,0,0,0,0,"",4
187111,0,0,0,0,"",0
187819,0,0,0,0,音乐播放效果出色(1),8
187821,0,0,0,0,"音色音质好(1),性价比高(1),外观漂亮(1)",6
187903,3.5,1.9,1.9,1.9,外观漂亮(2),3.7
187930,8.4,4.4,6.8,7.6,"外观漂亮(1),手感舒适(1),性能好(1),续航出色(1)",8.9
188012,0,0,0,0,"",10
188013,0,0,0,0,"",0
188018,0,0,0,0,"",0
188041,0,0,0,0,"",0
189051,0,0,0,0,"外观漂亮(3),外观简约(2),手感舒适(1)",5.2
189484,0,0,0,0,"性价比高(1),价格便宜(1)",8.3
190076,0,0,0,0,"屏幕效果好(2),音乐播放效果出色(1),耳机好(1)",6.9
190080,0,0,0,0,"音乐播放效果出色(3),耳机音质好(2),外观漂亮(2),运行流畅(1),性价比高(1),机身小巧(1),系统流畅(1)",6.7
190268,0,0,0,0,外观漂亮(1),5.4
190357,0,0,0,0,"",8
190380,0,0,0,0,续航出色(2),5.4
190481,4.7,4.7,1.5,4.7,"系统强悍(1),续航出色(1),外观稳重(1)",5.2
190680,5.6,5.6,5.6,7.2,"音色音质好(5),外观漂亮(3),续航出色(1),屏幕效果好(1),成像效果好(1),音乐播放效果出色(1)",7.4
191655,0,0,0,0,"机身小巧(2),屏幕效果好(2),外观简约(1),音色音质好(1),手感舒适(1),外观漂亮(1),系统流畅(1)",6.6
191760,0,0,0,0,"",0
193278,0,0,0,0,"外观漂亮(2),分辨率高(1),外观稳重(1)",4
193896,0,0,0,0,"续航出色(5),屏幕反应灵敏(1),外观稳重(1)",8.2
194069,0,0,0,0,"续航出色(2),外观漂亮(1),成像效果好(1)",6
194494,0,0,0,0,"",0
195611,0,0,0,0,"外观漂亮(21),屏幕效果好(4),音色音质好(4),系统流畅(2),手感舒适(2),电池容量大(1),游戏运行流畅(1)",7.2
195614,0,0,0,0,"外观漂亮(5),屏幕大(2),音色音质好(1),音乐播放效果出色(1),手感舒适(1)",6.8
195844,0,0,0,0,"",10
196698,0,0,0,0,成像效果好(1),8.5
196728,0,0,0,0,"",0
196925,0,0,0,0,续航出色(1),6
197403,5.8,6.8,5.2,5.8,"系统流畅(8),运行流畅(4),手感舒适(2),屏幕大(2),系统强悍(1),外观漂亮(1),价格合理(1)",7.8
197627,0,0,0,0,"",0
198651,0,0,0,0,屏幕大(1),3.3
199327,0,0,0,0,"",6
199804,6.7,6.7,6.7,6.7,"音色音质好(1),手感舒适(1),机身小巧(1),价格便宜(1)",8.4
200019,8,8,8,8,音色音质好(1),10
200021,0,0,0,0,手感舒适(1),8
200038,0,0,0,0,"屏幕效果好(2),外观漂亮(2),价格便宜(1)",6.6
200071,0,0,0,0,"性价比高(1),外观漂亮(1),续航出色(1)",7.5
200133,0,0,0,0,"系统流畅(1),续航出色(1)",7
201357,0,0,0,0,"",2
201421,5.4,6.2,6.2,6.2,"外观漂亮(11),屏幕大(10),系统流畅(2),屏幕效果好(2),运行流畅(1),性能好(1),视频流畅效果好(1)",7.5
201430,7.5,5.9,1.1,4.3,机身轻薄(1),6.8
201733,0,0,0,0,"",0
201810,0,0,0,0,"",0
202212,5.8,6.8,5.2,5.8,"系统流畅(8),运行流畅(4),手感舒适(2),屏幕大(2),系统强悍(1),外观漂亮(1),价格合理(1)",7.8
202221,5.8,6.8,5.2,5.8,"系统流畅(8),运行流畅(4),手感舒适(2),屏幕大(2),系统强悍(1),外观漂亮(1),价格合理(1)",7.8
203040,0,0,0,0,"",6
203755,0,0,0,0,续航出色(1),4
203865,0,0,0,0,"",3.3
204420,5.8,6.8,5.2,5.8,"系统流畅(8),运行流畅(4),手感舒适(2),屏幕大(2),外观漂亮(1),价格合理(1),游戏运行流畅(1)",7.8
204467,5.7,8.9,5.7,6.5,"运行流畅(1),机身小巧(2),分辨率高(2),处理器不错(2),性价比高(1),外观简约(1),屏幕大(1)",7.8
204732,0,0,0,0,"屏幕大(1),续航出色(1),外观漂亮(1)",7.5
204734,0,0,0,0,续航出色(5),7.8
205079,0,0,0,0,运行流畅(1),9
205176,0,0,0,0,"外观漂亮(6),手感舒适(1),系统流畅(1)",5.5
206324,0,0,0,0,"外观漂亮(5),屏幕大(1)",7.4
206926,0,0,0,0,"外观漂亮(1),视频流畅效果好(1)",6.4
207027,0,0,0,0,"",2
208731,0,0,0,0,"系统流畅(2),价格便宜(1)",5.6
210102,0,0,0,0,"续航出色(3),外观漂亮(1),系统流畅(1),屏幕效果好(1)",6
211535,0,0,0,0,价格便宜(1),6.3
211536,0,0,0,0,价格便宜(1),6
211538,0,0,0,0,手感舒适(1),6
211751,3.2,3.2,3.2,3.2,"",4
212683,0,0,0,0,"",0
212736,0,0,0,0,"",0
213156,0,0,0,0,硬件配置强悍(1),9.2
213249,0,0,0,0,"",3
213253,0,0,0,0,外观漂亮(1),8
213261,0,0,0,0,"系统流畅(2),屏幕大(1)",7
213270,0,0,0,0,"",8
213587,0,0,0,0,屏幕大(1),6
213609,0,0,0,0,"",0
213768,0,0,0,0,分辨率高(1),6
213790,5.8,6.8,5.2,5.8,"系统流畅(8),运行流畅(4),手感舒适(2),屏幕大(2),系统强悍(1),外观漂亮(1),价格合理(1)",7.8
214259,0,0,0,0,音色音质好(2),7
214264,0,0,0,0,续航出色(1),8.4
214268,0,0,0,0,"",0
214294,0,0,0,0,价格便宜(1),7.5
214453,0,0,0,0,外观稳重(1),8
214726,0,0,0,0,"",0
214900,0,0,0,0,"",0
215519,0,0,0,0,续航出色(2),2
217072,0,0,0,0,"",0
217086,0,0,0,0,字体大(1),6
217108,0,0,0,0,"",0
217380,0,0,0,0,外观漂亮(1),8
217439,0,0,0,0,"手感舒适(2),摄像效果出色(1),音色音质好(1),电池容量大(1)",9.1
217958,5.2,3.6,5.2,5.2,"",6.6
217980,0,0,0,0,"屏幕大(14),屏幕效果好(8),外观漂亮(7),分辨率高(5),运行流畅(2),电池容量大(2),系统流畅(2)",8.9
218890,0,0,0,0,"外观漂亮(2),外观简约(1),屏幕大(1),系统流畅(1),分辨率高(1)",6.4
218978,0,0,0,0,"视频流畅效果好(5),性价比高(3),外观漂亮(3),手感舒适(2),系统流畅(1),后盖严实(1),屏幕大(1)",6.4
219894,0,0,0,0,"外观漂亮(17),系统流畅(3),手感舒适(3),界面漂亮(2),信号好(1),网速快(1),续航出色(1)",7.5
220089,0,0,0,0,"",0
220124,0,0,0,0,外观漂亮(3),4
220182,0,0,0,0,"",0
220207,0,0,0,0,"",0
220225,0,0,0,0,"",2
221196,0,0,0,0,续航出色(1),10
222571,0,0,0,0,续航出色(1),3.7
223322,0,0,0,0,外观漂亮(3),6.5
223528,0,0,0,0,"外观漂亮(4),屏幕大(4),系统流畅(2),价格便宜(1)",5.5
224653,0,0,0,0,外观漂亮(2),3
224702,0,0,0,0,"",0
225158,0,0,0,0,屏幕效果好(1),8
225661,0,0,0,0,外观漂亮(1),7.3
225846,0,0,0,0,"外观漂亮(3),外观稳重(1)",6.5
226774,0,0,0,0,"信号好(1),续航出色(1)",9
227001,0,0,0,0,"",4
227308,7.8,7.8,1.4,7.8,续航出色(2),8.2
227542,0,0,0,0,"",0
227667,0,0,0,0,"外观漂亮(4),屏幕效果好(3),手感舒适(1),外观简约(1)",7.6
227676,0,0,0,0,机身小巧(1),6
227677,0,0,0,0,"字体大(1),外观漂亮(1),屏幕显示出色(1)",6
227678,0,0,0,0,"外观漂亮(3),摄像效果出色(1)",6.6
227845,5.4,6.2,6.3,6.6,"外观漂亮(29),屏幕效果好(22),运行流畅(21),手感舒适(12),分辨率高(10),系统强悍(11),续航出色(4)",7.9
227848,5.4,6.2,6.3,6.6,"外观漂亮(29),屏幕效果好(22),运行流畅(21),手感舒适(12),分辨率高(10),系统强悍(11),续航出色(4)",7.9
227864,0,0,0,0,"手感舒适(2),性价比较高(2),外观漂亮(1),价格实惠(1),速度流畅(1)",9
227870,0,0,0,0,"",0
228745,0,0,0,0,运行流畅(1),6
228746,0,0,0,0,价格便宜(1),8
228757,0,0,0,0,续航出色(2),6.5
228808,5.9,4.8,5.3,5.9,"外观漂亮(20),续航出色(18),系统流畅(14),手感舒适(13),性价比高(7),运行流畅(6),价格便宜(5)",7.2
229032,5,5,5,5,"外观稳重(2),续航出色(1),性能好(1),外观漂亮(1),软件不错(1)",6.2
229038,0,0,0,0,"",5
229360,0,0,0,0,"屏幕大(1),外观漂亮(1)",6.8
229623,0,0,0,0,"系统流畅(1),手感舒适(1),外观漂亮(1)",6
229747,3.5,6.7,5.1,3.5,"机身内存大(2),外观漂亮(2),外观简约(1)",6.4
229993,0,0,0,0,机身内存大(1),8
230031,0,0,0,0,"价格便宜(1),续航出色(1)",5.7
230036,5.3,5.3,5.3,5.3,"价格便宜(2),手感舒适(1),电池容量大(1),音色音质好(1),屏幕大(1),机身轻薄(1)",6.6
230039,0,0,0,0,"",0
230233,0,0,0,0,分辨率高(1),4
230252,5.1,5.1,5.9,5.1,"屏幕大(12),外观漂亮(7),机身内存大(6),系统流畅(4),手感舒适(2),外观稳重(1),屏幕效果好(1)",7.1
230420,5.6,5.6,4,5.6,"续航出色(9),价格合理(2),信号好(2),价格便宜(1),价格实惠(1)",6.2
230992,0,0,0,0,"外观漂亮(2),后盖严实(1),续航出色(1),价格便宜(1)",5.8
231626,0,0,0,0,"价格便宜(10),外观漂亮(6),手感舒适(3),运行流畅(1),视频流畅效果好(1),性价比高(1),系统流畅(1)",6.3
231722,0,0,0,0,"外观漂亮(28),价格便宜(2),续航出色(2),屏幕大(2),视频流畅效果好(1),音色音质好(1),游戏运行流畅(1)",7.8
231780,0,0,0,0,"外观漂亮(6),性价比高(3),价格合理(3),系统强悍(2),手感舒适(2),电池容量大(2),网速快(1)",7.1
231845,0,0,0,0,系统流畅(1),4.8
231848,0,0,0,0,"音色音质好(3),手感舒适(3),音乐播放效果出色(2),信号好(1),系统流畅(1),价格便宜(1),外观漂亮(1)",7.4
231852,0,0,0,0,"外观漂亮(1),手感舒适(1)",6
232353,0,0,0,0,外观简约(2),6
232508,0,0,0,0,"",0
234131,0,0,0,0,"外观漂亮(4),网速快(1),系统流畅(1),软件不错(1)",8.4
234167,0,0,0,0,"",0
234170,0,0,0,0,"",0
234576,0,0,0,0,"屏幕大(2),外观漂亮(1)",6.8
234693,0,0,0,0,"音色音质好(3),外观简约(1)",8
234792,0,0,0,0,"续航出色(3),系统强悍(1)",5.7
235177,0,0,0,0,分辨率高(1),8
235858,0,0,0,0,"",0
236345,0,0,0,0,"外观漂亮(3),音色音质好(3),系统流畅(1)",7.9
236348,6.8,7.1,5.8,6.1,"外观漂亮(7),音色音质好(6),手感舒适(4),续航出色(4),运行流畅(3),价格便宜(2),外观简约(2)",8
236450,0,0,0,0,"系统流畅(1),外观漂亮(1)",6
236866,0,0,0,0,"",0
236873,0,0,0,0,"音色音质好(1),屏幕大(1)",6.9
236875,0,0,0,0,"",6
237002,0,0,0,0,"",0
237164,0,0,0,0,"",0
237708,0,0,0,0,"外观漂亮(14),音色音质好(7),屏幕大(3),音乐播放效果出色(3),手感舒适(1),耳机音质好(1),价格合理(1)",5.3
237710,0,0,0,0,"外观漂亮(3),音色音质好(1),手感舒适(1)",4.9
237853,0,0,0,0,续航出色(1),6.4
237968,4.5,4.5,2.9,4.5,外观漂亮(1),5.1
237995,0,0,0,0,外观漂亮(1),8
238802,0,0,0,0,"",6.8
239539,0,0,0,0,外观漂亮(1),9
239745,0,0,0,0,系统流畅(1),8
240058,0,0,0,0,"",0
240198,5.7,5.7,5.7,5.7,"音色音质好(4),手感舒适(2),音乐播放效果出色(1),续航出色(2),系统流畅(1),外观漂亮(1),性价比高(1)",7.2
240249,0,0,0,0,"",0
240273,0,0,0,0,"",0
241078,0,0,0,0,续航出色(1),3.3
241259,0,0,0,0,"",0
241380,0,0,0,0,性价比高(1),6.3
241694,0,0,0,0,"",8
241729,0,0,0,0,"",0
242284,0,0,0,0,"",0
242287,0,0,0,0,"性能好(2),系统强悍(1)",8.8
242337,0,0,0,0,"外观漂亮(7),分辨率高(1),网速快(1),外观稳重(1)",6.9
242886,0,0,0,0,音色音质好(1),4.5
242982,0,0,0,0,"机身小巧(2),机身轻薄(1)",8
242990,0,0,0,0,屏幕大(2),6.3
242996,0,0,0,0,"",3.3
243020,0,0,0,0,外观简约(1),8.7
243135,0,0,0,0,外观漂亮(1),2
243423,0,0,0,0,外观漂亮(1),4.8
243424,0,0,0,0,音色音质好(1),6
243425,0,0,0,0,"",0
243623,6.4,6.4,6.4,6.4,"",8
243910,0,0,0,0,"",0
243918,0,0,0,0,"",0
244245,0,0,0,0,"",0
244465,0,0,0,0,做工扎实(1),5.5
244617,0,0,0,0,"系统流畅(3),屏幕大(1),手感舒适(1)",6.5
244630,0,0,0,0,"",6
244634,0,0,0,0,"外观简约(1),系统流畅(1)",6.7
244789,0,0,0,0,"屏幕大小适中(1),外观漂亮(1)",6
244796,6.4,4.8,4.8,8,"机身小巧(1),运行流畅(1),系统强悍(1)",8
245124,0,0,0,0,"价格便宜(2),性能好(1),性价比高(1),性价比高(1)",8.3
245126,0,0,0,0,音色音质好(1),4.5
245619,0,0,0,0,"",0
246071,0,0,0,0,"外观漂亮(1),外观简约(1)",8
246153,0,0,0,0,"续航出色(2),价格便宜(1),外观简约(1)",5.2
246177,0,0,0,0,音色音质好(1),5
246182,0,0,0,0,"价格便宜(5),外观漂亮(3),屏幕大(2),屏幕反应灵敏(1)",7.4
246199,0,0,0,0,"性价比高(2),机身内存大(1),音色音质好(1),手感舒适(1)",7.2
